Age Group,Week,Time Period,Year,State,Note,State Abbreviation,Suppress,Type,Week Ending Date,averagecount,difference,Number of Deaths,Number of Records,pctdifference
65-74 years,1,2015-2019,2015,United States,,US,,Predicted (weighted),1/10/2015,11119,,10711,1,
65-74 years,2,2015-2019,2015,United States,,US,,Predicted (weighted),1/17/2015,11229,,10553,1,
65-74 years,3,2015-2019,2015,United States,,US,,Predicted (weighted),1/24/2015,10909,,10070,1,
65-74 years,4,2015-2019,2015,United States,,US,,Predicted (weighted),1/31/2015,10755,,10112,1,
65-74 years,5,2015-2019,2015,United States,,US,,Predicted (weighted),2/7/2015,10737,,10078,1,
65-74 years,6,2015-2019,2015,United States,,US,,Predicted (weighted),2/14/2015,10944,,10346,1,
65-74 years,7,2015-2019,2015,United States,,US,,Predicted (weighted),2/21/2015,10759,,9979,1,
65-74 years,8,2015-2019,2015,United States,,US,,Predicted (weighted),2/28/2015,10681,,10033,1,
65-74 years,9,2015-2019,2015,United States,,US,,Predicted (weighted),3/7/2015,10680,,10103,1,
65-74 years,10,2015-2019,2015,United States,,US,,Predicted (weighted),3/14/2015,10694,,9925,1,
65-74 years,11,2015-2019,2015,United States,,US,,Predicted (weighted),3/21/2015,10551,,9938,1,
65-74 years,12,2015-2019,2015,United States,,US,,Predicted (weighted),3/28/2015,10376,,9585,1,
65-74 years,13,2015-2019,2015,United States,,US,,Predicted (weighted),4/4/2015,10342,,9695,1,
65-74 years,14,2015-2019,2015,United States,,US,,Predicted (weighted),4/11/2015,10366,,9798,1,
65-74 years,15,2015-2019,2015,United States,,US,,Predicted (weighted),4/18/2015,10274,,9618,1,
65-74 years,16,2015-2019,2015,United States,,US,,Predicted (weighted),4/25/2015,10086,,9531,1,
65-74 years,17,2015-2019,2015,United States,,US,,Predicted (weighted),5/2/2015,9987,,9257,1,
65-74 years,18,2015-2019,2015,United States,,US,,Predicted (weighted),5/9/2015,10024,,9411,1,
65-74 years,19,2015-2019,2015,United States,,US,,Predicted (weighted),5/16/2015,9840,,9327,1,
65-74 years,20,2015-2019,2015,United States,,US,,Predicted (weighted),5/23/2015,9707,,9032,1,
