Age Group,Week,Time Period,Year,State,Note,State Abbreviation,Suppress,Type,Week Ending Date,averagecount,difference,Number of Deaths,Number of Records,pctdifference
Under 25 years,1,2015-2019,2015,United States,,US,,Predicted (weighted),1/10/2015,1202,,1179,1,
Under 25 years,2,2015-2019,2015,United States,,US,,Predicted (weighted),1/17/2015,1181,,1214,1,
Under 25 years,3,2015-2019,2015,United States,,US,,Predicted (weighted),1/24/2015,1172,,1201,1,
Under 25 years,4,2015-2019,2015,United States,,US,,Predicted (weighted),1/31/2015,1177,,1188,1,
Under 25 years,5,2015-2019,2015,United States,,US,,Predicted (weighted),2/7/2015,1163,,1117,1,
Under 25 years,6,2015-2019,2015,United States,,US,,Predicted (weighted),2/14/2015,1196,,1193,1,
Under 25 years,7,2015-2019,2015,United States,,US,,Predicted (weighted),2/21/2015,1189,,1198,1,
Under 25 years,8,2015-2019,2015,United States,,US,,Predicted (weighted),2/28/2015,1168,,1180,1,
Under 25 years,9,2015-2019,2015,United States,,US,,Predicted (weighted),3/7/2015,1184,,1137,1,
Under 25 years,10,2015-2019,2015,United States,,US,,Predicted (weighted),3/14/2015,1183,,1143,1,
Under 25 years,11,2015-2019,2015,United States,,US,,Predicted (weighted),3/21/2015,1189,,1226,1,
Under 25 years,12,2015-2019,2015,United States,,US,,Predicted (weighted),3/28/2015,1232,,1233,1,
Under 25 years,13,2015-2019,2015,United States,,US,,Predicted (weighted),4/4/2015,1188,,1200,1,
Under 25 years,14,2015-2019,2015,United States,,US,,Predicted (weighted),4/11/2015,1181,,1149,1,
Under 25 years,15,2015-2019,2015,United States,,US,,Predicted (weighted),4/18/2015,1196,,1237,1,
Under 25 years,16,2015-2019,2015,United States,,US,,Predicted (weighted),4/25/2015,1198,,1260,1,
Under 25 years,17,2015-2019,2015,United States,,US,,Predicted (weighted),5/2/2015,1198,,1256,1,
Under 25 years,18,2015-2019,2015,United States,,US,,Predicted (weighted),5/9/2015,1222,,1222,1,
Under 25 years,19,2015-2019,2015,United States,,US,,Predicted (weighted),5/16/2015,1236,,1258,1,
Under 25 years,20,2015-2019,2015,United States,,US,,Predicted (weighted),5/23/2015,1226,,1243,1,
Under 25 years,21,2015-2019,2015,United States,,US,,Predicted (weighted),5/30/2015,1233,,1223,1,
Under 25 years,22,2015-2019,2015,United States,,US,,Predicted (weighted),6/6/2015,1262,,1213,1,
Under 25 years,23,2015-2019,2015,United States,,US,,Predicted (weighted),6/13/2015,1259,,1306,1,
Under 25 years,24,2015-2019,2015,United States,,US,,Predicted (weighted),6/20/2015,1292,,1354,1,
Under 25 years,25,2015-2019,2015,United States,,US,,Predicted (weighted),6/27/2015,1255,,1287,1,
Under 25 years,26,2015-2019,2015,United States,,US,,Predicted (weighted),7/4/2015,1251,,1320,1,
Under 25 years,27,2015-2019,2015,United States,,US,,Predicted (weighted),7/11/2015,1242,,1256,1,
Under 25 years,28,2015-2019,2015,United States,,US,,Predicted (weighted),7/18/2015,1243,,1273,1,
Under 25 years,29,2015-2019,2015,United States,,US,,Predicted (weighted),7/25/2015,1238,,1259,1,
Under 25 years,30,2015-2019,2015,United States,,US,,Predicted (weighted),8/1/2015,1263,,1248,1,
Under 25 years,31,2015-2019,2015,United States,,US,,Predicted (weighted),8/8/2015,1218,,1311,1,
Under 25 years,32,2015-2019,2015,United States,,US,,Predicted (weighted),8/15/2015,1234,,1246,1,
Under 25 years,33,2015-2019,2015,United States,,US,,Predicted (weighted),8/22/2015,1200,,1290,1,
Under 25 years,34,2015-2019,2015,United States,,US,,Predicted (weighted),8/29/2015,1229,,1233,1,
Under 25 years,35,2015-2019,2015,United States,,US,,Predicted (weighted),9/5/2015,1183,,1208,1,
Under 25 years,36,2015-2019,2015,United States,,US,,Predicted (weighted),9/12/2015,1220,,1240,1,
Under 25 years,37,2015-2019,2015,United States,,US,,Predicted (weighted),9/19/2015,1194,,1139,1,
Under 25 years,38,2015-2019,2015,United States,,US,,Predicted (weighted),9/26/2015,1239,,1264,1,
Under 25 years,39,2015-2019,2015,United States,,US,,Predicted (weighted),10/3/2015,1173,,1126,1,
Under 25 years,40,2015-2019,2015,United States,,US,,Predicted (weighted),10/10/2015,1203,,1228,1,
Under 25 years,41,2015-2019,2015,United States,,US,,Predicted (weighted),10/17/2015,1184,,1225,1,
