United States COVID-19 Cases and Deaths by State
Date generated: Sun Oct 18 2020 11:07:08 GMT-0300 (Chile Summer Time)

State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,Case Rate per 100000 in Last 7 Days,Death Rate per 100K in Last 7 Days
Alaska,10549,null,null,1367,1430,66,null,null,6,8,26.5,0.1
Alabama,170374,149724,20650,6909,3486,2786,2618,168,133,57,20.2,0.4
Arkansas,97539,null,null,6227,3236,1665,null,null,136,55,29.5,0.6
American Samoa,0,null,null,0,0,0,null,null,0,0,0,0
Arizona,229486,224399,5087,5402,3200,5806,5519,287,60,80,10.8,0.1
California,861476,null,null,22870,2178,16830,null,null,402,42,8.3,0.2
Colorado,83230,77557,5673,6611,1461,2172,1792,380,69,38,16.6,0.2
Connecticut,62830,60309,2521,2792,1759,4542,3641,901,12,127,11.2,0.1
District of Columbia,16255,null,null,412,2314,641,null,null,7,91,8.4,0.1
Delaware,22724,21635,1089,897,2350,662,581,81,11,68,13.3,0.2
Florida,739050,null,null,19049,3470,15830,null,null,644,74,12.8,0.4
Federated States of Micronesia,0,0,0,0,0,0,null,null,0,0,0,0
Georgia,337850,null,null,8818,3212,7556,null,null,208,71,12,0.3
Guam,3538,null,null,549,2134,63,null,null,5,38,47.3,0.4
Hawaii,13813,null,null,542,972,185,null,null,19,13,5.5,0.2
Iowa,104972,null,null,7515,3326,1523,null,null,82,48,34,0.4
Idaho,51704,46086,5618,4616,2947,523,482,41,17,29,37.6,0.1
Illinois,339761,336174,3587,23205,2667,9425,9165,260,234,73,26,0.3
Indiana,143495,null,null,12002,2144,3887,3654,233,126,58,25.6,0.3
Kansas,70855,66001,4854,5048,2434,859,null,null,96,29,24.8,0.5
Kentucky,85506,72924,12582,7050,1914,1300,1286,14,58,29,22.5,0.2
Louisiana,177726,null,null,4320,3814,5727,5527,200,92,122,13.2,0.3
Massachusetts,149249,139353,9896,4342,2162,9690,9482,208,120,140,9,0.3
Maryland,135127,null,null,4332,2236,4036,3891,145,41,66,10.2,0.1
Maine,5902,5279,623,206,441,145,null,null,2,10,2.2,0
Michigan,159119,143106,16013,11303,1593,7317,6987,330,117,73,16.2,0.2
Minnesota,119396,null,null,10084,2128,2212,2203,9,66,39,25.7,0.2
Missouri,154928,null,null,15764,2529,2580,null,null,187,42,36.8,0.4
Northern Mariana Islands,86,86,0,9,0,2,2,0,0,3,2.3,0
Mississippi,110006,98475,11531,5368,3683,3171,2879,292,75,106,25.7,0.4
Montana,21595,21595,0,3683,2033,235,235,0,32,22,49.5,0.4
North Carolina,241623,233732,7891,14192,2327,3910,3864,46,163,37,19.5,0.2
North Dakota,31261,null,null,4633,4113,399,null,null,63,52,87.1,1.2
Nebraska,56714,null,null,6655,2940,547,null,null,33,28,49.3,0.2
New Hampshire,9514,null,null,544,701,465,null,null,15,34,5.7,0.2
New Jersey,217804,null,null,5791,2445,16202,14413,1789,38,181,9.3,0.1
New Mexico,35770,null,null,3529,1707,928,null,null,26,44,24.1,0.2
Nevada,88781,null,null,4096,2926,1754,null,null,51,57,19.3,0.2
New York,228173,null,null,5797,2048,9136,null,null,41,81,7.4,0.1
New York City,254538,247936,6602,3778,3031,23925,19274,4651,43,284,6.4,0.1
Ohio,177991,167674,10317,11889,1523,5054,4746,308,60,43,14.5,0.1
Oklahoma,111624,98120,13504,8242,2831,1161,1140,21,64,29,29.9,0.2
Oregon,38935,37215,1720,2409,929,617,602,15,20,14,8.2,0.1
Pennsylvania,179086,172169,6917,9778,1398,8457,null,null,149,66,10.9,0.2
Puerto Rico,56650,28293,28357,3286,1773,761,578,183,33,23,14.7,0.2
Palau,0,null,null,0,0,0,null,null,0,0,0,0
Rhode Island,27691,null,null,1397,2619,1152,null,null,22,108,18.9,0.3
Republic of Marshall Islands,0,0,0,0,0,0,null,null,0,0,0,0
South Carolina,162253,155799,6454,6577,3191,3615,3405,210,85,71,18.5,0.2
South Dakota,31805,null,null,4590,3605,307,302,5,28,34,74.3,0.5
Tennessee,223493,212682,10811,12490,3301,2871,2738,133,139,42,26.4,0.3
Texas,815678,null,null,29848,2842,16903,null,null,471,58,14.9,0.2
Utah,91957,91957,0,8667,2909,537,532,5,32,16,39.2,0.1
Virginia,165238,155068,10170,7333,1940,3422,3175,247,68,40,12.3,0.1
Virgin Islands,1329,null,null,5,1270,21,null,null,1,20,0.7,0.1
Vermont,1917,null,null,71,306,58,null,null,0,9,1.6,0
Washington,96894,null,null,4334,1286,2239,null,null,49,29,8.2,0.1
Wisconsin,175227,166186,9041,22596,3014,1588,1574,14,137,27,55.5,0.3
West Virginia,19580,18718,862,1873,1084,396,null,null,20,21,14.8,0.2
Wyoming,8665,7337,1328,1330,1500,57,57,0,3,9,32.9,0.1
United States of America,8028332,3255589,213698,387022,2426,217918,116344,11176,4911,66,16.7,0.2
